Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-14,4.02,4.114,4.013,4.028,27257966,0,0
2020-12-15,4.03,4.108,3.983,4.099,18943343,0,0
2020-12-16,4.062,4.118,4.016,4.056,17859127,0,0
2020-12-17,4.069,4.088,4.006,4.059,23603295,0,0
2020-12-18,4.033,4.097,4.013,4.054,71767881,0,0
2020-12-21,3.912,3.958,3.796,3.881,21393382,0,0
2020-12-22,3.895,3.999,3.893,3.966,12281484,0,0
2020-12-23,3.968,4.095,3.956,4.081,29162348,0,0
2020-12-24,4.093,4.105,4.06,4.1,3838517,0,0
2020-12-28,4.136,4.15,4.001,4.078,9906186,0,0
2020-12-29,4.104,4.12,4.039,4.068,9927906,0,0
2020-12-30,4.07,4.148,4.062,4.074,9544365,0,0
2020-12-31,4.051,4.082,4.035,4.035,6323207,0,0
2021-01-04,4.098,4.098,3.983,4.078,17697478,0,0
2021-01-05,4.04,4.093,4.022,4.074,10364379,0,0
2021-01-06,4.155,4.36,4.155,4.309,23840511,0,0
2021-01-07,4.331,4.364,4.236,4.352,16392749,0,0
2021-01-08,4.375,4.375,4.243,4.276,17999939,0,0
2021-01-11,4.275,4.309,4.213,4.251,18714251,0,0
2021-01-12,4.284,4.295,4.243,4.256,13919658,0,0
2021-01-13,4.25,4.264,4.191,4.196,15753851,0,0
2021-01-14,4.19,4.225,4.136,4.174,15361594,0,0
2021-01-15,4.159,4.216,4.02,4.088,47387693,0,0
2021-01-18,4.07,4.152,4.057,4.14,8693398,0,0
2021-01-19,4.16,4.195,4.022,4.022,14226056,0,0
2021-01-20,4.027,4.074,4.014,4.051,18621280,0,0
2021-01-21,4.07,4.099,4.02,4.035,24091369,0,0
2021-01-22,3.99,4.066,3.958,4.002,23884878,0,0
2021-01-25,4.05,4.088,3.863,3.887,14230938,0,0
2021-01-26,3.912,3.976,3.891,3.944,16326429,0,0
2021-01-27,3.945,3.962,3.788,3.835,30115874,0,0
2021-01-28,3.782,3.956,3.782,3.941,22505578,0,0
2021-01-29,3.883,3.908,3.767,3.767,26872725,0,0
2021-02-01,3.846,3.848,3.736,3.758,22706793,0,0
2021-02-02,3.801,3.984,3.763,3.984,34448529,0,0
